ID_Digital_Signage,Start_Time_Min,End_Time_Min,
1,420,480,
2,540,600,
3,540,560,
4,420,460,
5,600,680,
6,120,160,
7,180,320,
8,120,200,
9,180,320,
10,480,560,
11,540,660,
12,60,80,
13,480,520,
14,420,500,
15,720,800,
16,60,80,
17,600,620,
18,420,560,
19,180,300,
20,600,700,
21,420,560,
22,480,620,
23,540,660,
24,480,620,
25,60,200,
26,480,540,
27,660,700,
28,240,260,
29,480,500,
30,660,760,
31,540,560,
32,720,820,
33,420,560,
34,420,460,
35,480,520,
36,420,520,
37,360,460,
38,300,400,
39,60,140,
40,600,680,
