         ---------------
Start    : 14:32:36.08 call_gen_db_cds_1.bat
         ---------------
The syntax of the command is incorrect.
"-------------------"
"  The parameters are:"
"-------------------"
"RELEASE_BRANCH      = cpss_4.2"
"CURRENT_BASELINE    = CPSS_4.2_317"
"CURRENT_BASELINE_NO = 4.2_317"
"LOG_DIR             = c:\Git\ws01\cds\code\Logs_4.2_317_180603"
"-------------------"
"CONF_GEN_CDS=c:\Git\ws01\cds\code\gen_db_cds_3.json
 "c:\Python27\python.exe c:\Git\ws01\cds\code\w_json_6.py c:\Git\ws01\cds\code\data_cds_1.json >c:\Git\ws01\cds\code\Logs_4.2_317_180603\w_json_x.txt"
gen_User_Clip: Rand_User_Clip_Counter =  1
gen_User_Clip: Rand_User_Clip_Counter =  2
gen_User_Clip: Rand_User_Clip_Counter =  4
gen_User_Clip: Rand_User_Clip_Counter =  1
gen_User_Clip: Rand_User_Clip_Counter =  3
gen_User_Clip: Rand_User_Clip_Counter =  4
gen_User_Clip: Rand_User_Clip_Counter =  1
gen_User_Clip: Rand_User_Clip_Counter =  3
gen_User_Clip: Rand_User_Clip_Counter =  1
Total_Slots =  1155
---------------
data = 
{'City': {101100: 'Israel_ALL',
          101101: 'Haifa',
          101102: 'TelAviv',
          101103: 'Jerusalem'},
 'Country': {100: 'ALL', 101: 'Israel', 102: 'USA', 103: 'Russia'},
 'D_Sign_Owner': {101101101100L: 104,
                  101101101101L: 106,
                  101101101102L: 106,
                  101101101103L: 106,
                  101101101104L: 106,
                  101101101105L: 105,
                  101101101106L: 102,
                  101101101107L: 103,
                  101101101108L: 103,
                  101101101109L: 108,
                  101101102100L: 101,
                  101101102101L: 107,
                  101101102102L: 106,
                  101101102103L: 105,
                  101101102104L: 102,
                  101101102105L: 107,
                  101101102106L: 105,
                  101101102107L: 101,
                  101101102108L: 104,
                  101101102109L: 106,
                  101101103100L: 109,
                  101101103101L: 106,
                  101101103102L: 106,
                  101101103103L: 107,
                  101101103104L: 109,
                  101101103105L: 101,
                  101101103106L: 102,
                  101101103107L: 104,
                  101101103108L: 103,
                  101101103109L: 109,
                  101101104100L: 102,
                  101101104101L: 106,
                  101101104102L: 101,
                  101101104103L: 104,
                  101101104104L: 107,
                  101101104105L: 109,
                  101101104106L: 109,
                  101101104107L: 105,
                  101101104108L: 103,
                  101101104109L: 108,
                  101101105100L: 108,
                  101101105101L: 104,
                  101101105102L: 101,
                  101101105103L: 103,
                  101101105104L: 102,
                  101101105105L: 101,
                  101101105106L: 106,
                  101101105107L: 105,
                  101101105108L: 107,
                  101101105109L: 104,
                  101101106100L: 103,
                  101101106101L: 104,
                  101101106102L: 104,
                  101101106103L: 103,
                  101101106104L: 108,
                  101101106105L: 102,
                  101101106106L: 102,
                  101101106107L: 108,
                  101101106108L: 108,
                  101101106109L: 102,
                  101101107100L: 102,
                  101101107101L: 106,
                  101101107102L: 103,
                  101101107103L: 101,
                  101101107104L: 109,
                  101101107105L: 103,
                  101101107106L: 103,
                  101101107107L: 104,
                  101101107108L: 102,
                  101101107109L: 106,
                  101101108100L: 105,
                  101101108101L: 107,
                  101101108102L: 102,
                  101101108103L: 108,
                  101101108104L: 108,
                  101101108105L: 103,
                  101101108106L: 109,
                  101101108107L: 103,
                  101101108108L: 102,
                  101101108109L: 106,
                  101101109100L: 105,
                  101101109101L: 101,
                  101101109102L: 109,
                  101101109103L: 109,
                  101101109104L: 108,
                  101101109105L: 107,
                  101101109106L: 102,
                  101101109107L: 107,
                  101101109108L: 101,
                  101101109109L: 108},
 'Digital_Signage': {101101101100L: 'Haifa_Bat_Galim_ALL',
                     101101101101L: 'Haifa_Bat_Galim_1',
                     101101101102L: 'Haifa_Bat_Galim_2',
                     101101101103L: 'Haifa_Bat_Galim_3',
                     101101101104L: 'Haifa_Bat_Galim_4',
                     101101101105L: 'Haifa_Bat_Galim_5',
                     101101101106L: 'Haifa_Bat_Galim_6',
                     101101101107L: 'Haifa_Bat_Galim_7',
                     101101101108L: 'Haifa_Bat_Galim_8',
                     101101101109L: 'Haifa_Bat_Galim_9',
                     101101102100L: 'Haifa_Denia_ALL',
                     101101102101L: 'Haifa_Denia_1',
                     101101102102L: 'Haifa_Denia_2',
                     101101102103L: 'Haifa_Denia_3',
                     101101102104L: 'Haifa_Denia_4',
                     101101102105L: 'Haifa_Denia_5',
                     101101102106L: 'Haifa_Denia_6',
                     101101102107L: 'Haifa_Denia_7',
                     101101102108L: 'Haifa_Denia_8',
                     101101102109L: 'Haifa_Denia_9',
                     101101103100L: 'Haifa_French_Carmel_ALL',
                     101101103101L: 'Haifa_French_Carmel_1',
                     101101103102L: 'Haifa_French_Carmel_2',
                     101101103103L: 'Haifa_French_Carmel_3',
                     101101103104L: 'Haifa_French_Carmel_4',
                     101101103105L: 'Haifa_French_Carmel_5',
                     101101103106L: 'Haifa_French_Carmel_6',
                     101101103107L: 'Haifa_French_Carmel_7',
                     101101103108L: 'Haifa_French_Carmel_8',
